#Hierarchical Translation and Rotation (.csv) file
[Head]
NumFrames,NumSegments,DataFrameRate,EulerRotationOrder,BoneAxis,TranslationUnits
3534,1,90,ZYX,Y,mm

[SegmentNames&Hierarchy]
Segment,Parent
Segment1,

[SegmentData]
 Frame# ,,Segment1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Timestamp,XToGlobal1,YToGlobal1,ZToGlobal1,VxToGlobal1,VyToGlobal1,VzToGlobal1,VrToGlobal1,AxToGlobal1,AyToGlobal1,AzToGlobal1,ArToGlobal1,QxToGlobal1,QyToGlobal1,QzToGlobal1,QwToGlobal1,ExToGlobal1,EyToGlobal1,EzToGlobal1,EVxToGlobal1,EVyToGlobal1,EVzToGlobal1,EAxToGlobal1,EAyToGlobal1,EAzToGlobal1,Segmentlength1,
1,1785484617254,-573.265625, -614.574341, 435.339417, , , , , , , , , -0.004575, -0.164048, -0.395015, 0.903898, 7.307672, -17.468365, -48.336052, , , , , , , 112.839439, 
2,1785484617265,-573.048767, -614.692078, 435.077820, , , , , , , , , -0.004772, -0.162771, -0.395401, 0.903959, 7.227571, -17.340490, -48.353661, , , , , , , 112.839439, 
3,1785484617276,-572.809326, -614.769287, 434.654999, 20.533447, -8.772583, -30.798798, 38.041382, 182.922363, 328.271484, -1305.917358, 1358.912354, -0.004730, -0.160894, -0.395783, 0.904127, 7.141894, -17.138451, -48.360481, -7.459977, 14.846131, -1.099455, -45.153622, 600.724487, 87.367699, 112.839439, 
4,1785484617288,-572.609497, -614.727173, 434.514191, 19.767151, -1.579285, -25.363312, 32.195217, -320.855713, 966.522217, 2284.304688, 2501.032227, -0.006324, -0.154787, -0.395317, 0.905387, 6.646183, -16.575821, -48.144093, -26.162437, 34.410126, 9.430468, -3321.289062, 2920.794678, 1808.018433, 112.839439, 
5,1785484617299,-572.309753, -614.934204, 434.281982, 22.480774, -7.421265, -16.785736, 29.021049, 809.307861, -2018.078613, -740.341187, 2296.894775, -0.005524, -0.156839, -0.395800, 0.904828, 6.846874, -16.750061, -48.261368, -13.275926, 17.477516, 4.460217, 5640.860840, -5968.664551, -2702.663574, 112.839439, 
6,1785484617310,-571.959778, -615.037109, 434.031311, 29.237366, -13.947144, -21.729584, 39.006680, 406.878662, 843.420410, -149.551392, 948.300537, -0.005419, -0.155980, -0.395514, 0.905102, 6.808451, -16.657022, -48.206821, 7.302043, -3.654088, -2.822732, -1936.826660, 2164.975586, 1391.732788, 112.839439, 
7,1785484617321,-571.696411, -615.122498, 433.674805, 27.600403, -8.473206, -27.322998, 39.750771, -701.531982, 141.888428, -857.263184, 1116.771973, -0.005125, -0.154713, -0.395740, 0.905222, 6.778918, -16.508356, -48.211983, -3.058031, 10.876749, 2.222214, 72.013344, 450.575256, -483.642548, 112.839439, 
8,1785484617332,-571.422974, -615.157410, 433.369965, 24.156189, -5.413513, -29.760590, 38.710724, 81.573486, 408.856201, 418.496704, 590.725952, -0.005238, -0.153824, -0.395729, 0.905378, 6.720983, -16.420443, -48.189861, -3.936050, 10.646092, 0.763211, -230.056824, -492.093506, 221.021942, 112.839439, 
9,1785484617343,-571.085754, -615.178650, 433.273285, 27.479553, -2.526855, -18.068390, 32.984505, 516.632080, 110.742188, 1686.099243, 1766.947388, -0.005708, -0.151794, -0.395456, 0.905837, 6.561437, -16.231342, -48.105377, -9.786634, 12.465629, 4.797342, -823.048340, 819.610046, 505.121704, 112.839439, 
10,1785484617354,-570.755005, -615.276489, 432.922058, 30.058594, -5.358582, -20.155792, 36.585373, -52.404785, -620.452881, -2061.831543, 2153.800781, -0.005312, -0.151145, -0.395224, 0.906049, 6.566522, -16.146112, -48.066643, -6.950738, 12.344877, 5.544897, 1333.509644, -841.345337, -370.561890, 112.839439, 
11,1785484617365,-570.403809, -615.346802, 432.870300, 30.687561, -7.566833, -18.134308, 36.439491, 165.618896, 222.967529, 2425.698730, 2441.548584, -0.005751, -0.150130, -0.394535, 0.906515, 6.455215, -16.065073, -47.951305, -4.779973, 7.482104, 6.933224, -942.771729, -33.953762, 620.460815, 112.839439, 
12,1785484617376,-570.122253, -615.346558, 432.641846, 28.473816, -3.153076, -12.609558, 31.300177, -564.093018, 571.508789, -1431.243896, 1641.122314, -0.005800, -0.149069, -0.394330, 0.906779, 6.392327, -15.957266, -47.902309, -7.838763, 8.498084, 7.394857, 392.189484, 216.830139, -537.366943, 112.839439, 
13,1785484617388,-569.741211, -615.229309, 432.403473, 29.816895, 5.287170, -21.007233, 36.855194, 805.847168, 947.735596, -80.337524, 1246.614014, -0.006999, -0.143244, -0.393235, 0.908184, 5.950571, -15.407866, -47.630028, -22.708990, 29.574305, 14.457481, -3068.830322, 3576.889404, 1808.639404, 112.839439, 
14,1785484617399,-569.393616, -615.375183, 432.310822, 32.788696, -1.288147, -14.896088, 36.036804, -270.922852, -2131.292725, 1180.343628, 2451.330078, -0.006048, -0.146525, -0.393220, 0.907674, 6.217326, -15.708933, -47.704697, -7.875063, 11.174976, 8.892614, 5738.937012, -6888.768555, -2810.315430, 112.839439, 
15,1785484617410,-569.049500, -615.398804, 432.133392, 31.127014, -7.627258, -12.153625, 34.275017, -28.179932, 990.252686, -686.700439, 1205.384521, -0.005995, -0.144809, -0.392673, 0.908186, 6.126960, -15.529544, -47.600742, 7.937487, -5.475466, 1.317894, -2892.677979, 3891.688721, 1446.865723, 112.839439, 
16,1785484617421,-568.736572, -615.271057, 432.071045, 29.566956, 4.685669, -10.789948, 31.821114, -252.630615, 1226.074219, 932.162476, 1560.771362, -0.007536, -0.139245, -0.391768, 0.909435, 5.668431, -15.021030, -47.358940, -24.700279, 30.955616, 15.559026, -2982.120117, 2665.906250, 1116.538086, 112.839439, 
17,1785484617432,-568.338684, -615.283630, 431.979828, 31.986694, 5.182800, -6.910400, 33.132515, 688.183594, -1136.590576, -233.843994, 1349.117432, -0.007674, -0.138558, -0.391167, 0.909797, 5.609497, -14.958676, -47.267555, -23.285849, 25.689022, 14.993292, 3236.717529, -3613.893311, -1218.370117, 112.839439, 
18,1785484617443,-567.952576, -615.247192, 431.694641, 35.279846, 1.073914, -16.938171, 39.150002, -95.416260, 396.990967, -1571.154785, 1623.340210, -0.007223, -0.136900, -0.390588, 0.910301, 5.566310, -14.766668, -47.167862, -4.595425, 11.446279, 8.598602, 127.558891, 1050.199341, 67.326057, 112.839439, 
19,1785484617454,-567.531921, -615.427856, 431.621826, 36.304321, -6.490173, -16.110077, 40.245007, 279.821777, -1758.526611, 1720.211792, 2475.852295, -0.006684, -0.140078, -0.390337, 0.909929, 5.777015, -15.078301, -47.201504, 7.538348, -5.383113, 2.972419, 2056.520264, -4079.489746, -1080.039062, 112.839439, 
20,1785484617465,-567.214294, -615.338257, 431.388000, 33.222656, -4.097900, -13.798828, 36.206978, -834.521484, 2189.135742, -1304.187012, 2681.351318, -0.007868, -0.134703, -0.389186, 0.911223, 5.366065, -14.573038, -46.941536, -9.011053, 8.713350, 10.184643, -5035.412598, 6616.853027, 2378.239258, 112.839439, 
