#Hierarchical Translation and Rotation (.csv) file
[Head]
NumFrames,NumSegments,DataFrameRate,EulerRotationOrder,BoneAxis,TranslationUnits
3534,1,90,ZYX,Y,mm

[SegmentNames&Hierarchy]
Segment,Parent
Segment1,

[SegmentData]
 Frame# ,,Segment1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Timestamp,XToGlobal1,YToGlobal1,ZToGlobal1,VxToGlobal1,VyToGlobal1,VzToGlobal1,VrToGlobal1,AxToGlobal1,AyToGlobal1,AzToGlobal1,ArToGlobal1,QxToGlobal1,QyToGlobal1,QzToGlobal1,QwToGlobal1,ExToGlobal1,EyToGlobal1,EzToGlobal1,EVxToGlobal1,EVyToGlobal1,EVzToGlobal1,EAxToGlobal1,EAyToGlobal1,EAzToGlobal1,Segmentlength1,
1,1785484617254,-162.921814, -491.151825, 286.637634, , , , , , , , , 0.286109, -0.224123, -0.684098, 0.632392, 42.255890, 6.199235, -92.100784, , , , , , , 47.349049, 
2,1785484617265,-163.112900, -490.938354, 286.603516, , , , , , , , , 0.286744, -0.224245, -0.683486, 0.632724, 42.326115, 6.211600, -92.010536, , , , , , , 47.349049, 
3,1785484617276,-163.443283, -490.671478, 286.624084, -23.466110, 21.615601, -0.609741, 31.910254, -1128.309570, 432.586670, 442.968750, 1287.025757, 0.286588, -0.224104, -0.683251, 0.633098, 42.302307, 6.192134, -91.966141, 2.088859, -0.319563, 6.059020, -761.657166, -257.822296, -371.357239, 47.349049, 
4,1785484617288,-163.847565, -490.290985, 286.683655, -33.059921, 29.131622, 3.606262, 44.211029, -598.576355, 920.297241, 315.911865, 1142.383911, 0.285528, -0.223973, -0.684280, 0.632512, 42.191170, 6.167208, -92.121590, -6.072473, -1.997613, -4.997344, -707.382568, -44.226734, -1618.788086, 47.349049, 
5,1785484617299,-164.137009, -490.036499, 286.697571, -31.217651, 28.574066, 3.306885, 42.449436, 930.184937, -1020.657349, -369.799805, 1429.593384, 0.285794, -0.224469, -0.683578, 0.632974, 42.261391, 6.116954, -92.036316, -1.841231, -3.383108, -3.157866, 1469.006104, -205.162430, 1949.894043, 47.349049, 
6,1785484617310,-164.392929, -489.882111, 286.753571, -24.541397, 18.399353, 3.146210, 30.833666, 271.540833, -810.791016, 340.878296, 920.496887, 0.286047, -0.224002, -0.682847, 0.633815, 42.249290, 6.125227, -91.896912, 2.615453, -1.889143, 10.110592, -666.802979, 474.076202, 438.428619, 47.349049, 
7,1785484617321,-164.617126, -489.677368, 286.724060, -21.605301, 16.160889, 1.192017, 27.007114, 256.956482, 407.867432, -692.633057, 843.873840, 0.286922, -0.224725, -0.682398, 0.633646, 42.390003, 6.130767, -91.863777, 5.787549, 0.621610, 7.764292, 1237.780151, -22.140656, -860.762756, 47.349049, 
8,1785484617332,-165.168121, -489.344391, 286.842773, -34.883652, 24.197388, 4.014130, 42.643826, -2647.059570, 1038.702393, 1200.613403, 3086.632568, 0.286124, -0.223791, -0.683852, 0.632769, 42.231018, 6.206809, -92.044899, -0.822221, 3.671151, -6.659432, -2427.538574, 571.058105, -1735.507446, 47.349049, 
9,1785484617343,-165.385880, -489.219635, 286.822449, -34.593887, 20.597992, 4.427490, 40.504532, 2699.217285, -1686.593628, -1126.208496, 3376.198730, 0.287402, -0.223337, -0.683372, 0.632869, 42.307800, 6.322151, -91.946213, -3.699064, 8.612268, -3.709795, 1909.707031, 318.342987, 2266.442139, 47.349049, 
10,1785484617354,-166.014145, -488.903809, 286.776886, -38.071060, 19.826202, -2.964935, 43.026443, -3325.108398, 1547.671509, -204.428101, 3673.339600, 0.288292, -0.225644, -0.683814, 0.631167, 42.577065, 6.282896, -92.135155, 15.572096, 3.423929, -4.061508, 1559.101685, -1252.244019, -2329.750488, 47.349049, 
11,1785484617365,-166.093887, -488.890930, 286.698975, -31.860352, 14.791718, -5.556335, 35.563320, 4443.036133, -2453.878906, -262.023926, 5082.395508, 0.290279, -0.227371, -0.682353, 0.631217, 42.907566, 6.263683, -91.995140, 26.989433, -2.631072, -2.201573, 496.019165, 162.343796, 2664.538818, 47.349049, 
12,1785484617376,-166.528625, -488.685791, 286.865753, -23.151627, 9.810791, 3.999023, 25.460590, -2875.465332, 1557.312012, 1981.988525, 3823.846191, 0.289728, -0.226439, -0.683287, 0.630795, 42.773659, 6.330348, -92.093704, 8.846652, 2.135340, 1.865169, -3761.719971, 695.610352, -1932.525391, 47.349049, 
13,1785484617388,-166.921234, -488.475677, 287.020203, -37.230606, 18.686371, 14.455261, 44.093685, 341.249084, 40.292358, -99.865723, 357.837372, 0.289370, -0.225302, -0.684246, 0.630327, 42.639187, 6.429030, -92.186134, -12.077038, 7.440621, -8.594945, -4.544253, 259.340210, 49.704891, 47.349049, 
14,1785484617399,-167.157043, -488.399414, 287.121002, -28.278809, 12.886963, 11.486206, 33.131523, 1270.074463, -1084.185791, -434.564209, 1725.512695, 0.290047, -0.225360, -0.683899, 0.630371, 42.705894, 6.465495, -92.134613, -3.049389, 6.081607, -1.840812, 1629.520996, -503.962646, 1166.039062, 47.349049, 
15,1785484617410,-167.380798, -488.345123, 287.213593, -20.680389, 5.874939, 8.702545, 23.193268, 97.640991, -177.978516, -66.494751, 213.615692, 0.290222, -0.224994, -0.683890, 0.630431, 42.690426, 6.504071, -92.114349, 2.305677, 3.376866, 3.230347, -665.609070, 17.109142, -253.230362, 47.349049, 
16,1785484617421,-167.519470, -488.256714, 287.276917, -16.309204, 6.421509, 7.016144, 18.879942, 689.172363, 276.361084, -237.057495, 779.442261, 0.290724, -0.224583, -0.683897, 0.630339, 42.699539, 6.576135, -92.094345, -0.286010, 4.978829, 1.812103, 199.105392, 271.244263, -2.053571, 47.349049, 
17,1785484617432,-166.903152, -488.112000, 285.738464, 21.494064, 10.490570, -66.380768, 70.558151, 6115.416016, 456.069946, -12974.386719, 14350.645508, 0.302419, -0.233449, -0.678362, 0.627590, 44.519745, 6.735070, -91.693451, 82.319366, 10.394925, 18.940523, 14669.862305, 703.652954, 3085.169189, 47.349049, 
18,1785484617443,-167.244736, -487.931274, 286.036530, 12.363052, 14.644775, -55.817413, 59.016083, -7758.998047, 291.687012, 14875.790039, 16780.234375, 0.301118, -0.232865, -0.679282, 0.627438, 44.348213, 6.711582, -91.805969, 74.190437, 6.095084, 12.976752, -16133.069336, -1477.624268, -4158.647949, 47.349049, 
19,1785484617454,-167.436981, -487.823975, 286.090393, -24.022293, 12.961121, 15.836792, 31.557331, 1209.635986, -594.744873, -1978.033447, 2393.649170, 0.301281, -0.234018, -0.678942, 0.627298, 44.462631, 6.632893, -91.814621, -2.570146, -4.597974, -5.452466, 2316.164307, -447.126190, 841.388550, 47.349049, 
20,1785484617465,-167.567291, -487.749054, 286.234039, -14.514999, 8.199921, 8.887939, 18.892309, 501.676941, -262.271118, 727.239990, 921.598572, 0.301449, -0.234791, -0.678189, 0.627743, 44.548485, 6.551882, -91.738228, 9.012066, -7.186477, 3.048567, -231.366119, -18.804419, 688.797546, 47.349049, 
21,1785484617476,-167.798447, -487.644348, 286.423401, -16.265945, 8.083191, 14.985352, 23.547394, -816.847229, 241.259766, 370.294189, 928.742920, 0.300593, -0.235650, -0.678059, 0.627972, 44.546333, 6.412009, -91.764023, 3.766542, -9.939777, 2.276892, -712.828247, -476.789642, -827.699036, 47.349049, 
22,1785484617488,-168.830933, -487.658386, 288.229553, -56.863861, 4.080048, 89.798126, 106.366577, -6490.777344, -961.825562, 13096.004883, 14647.888672, 0.288681, -0.227849, -0.683235, 0.630823, 42.801781, 6.142890, -92.158691, -78.601654, -18.404629, -18.920795, -14113.447266, -1046.883667, -2987.884521, 47.349049, 
23,1785484617499,-168.944504, -487.677643, 288.275879, -51.572571, -1.498260, 83.361511, 98.036301, 7443.209961, -42.269897, -14254.595703, 16080.941406, 0.288652, -0.228847, -0.682796, 0.630950, 42.886845, 6.050110, -92.141762, -74.676933, -16.285446, -16.998451, 14819.898438, 1428.336426, 3333.906494, 47.349049, 
24,1785484617510,-169.062927, -487.636597, 288.203613, -10.439758, 0.980530, -1.167297, 10.550477, -39.303589, 488.452148, -960.589600, 1078.361084, 0.289174, -0.229511, -0.682589, 0.630695, 42.990166, 6.042732, -92.144127, 8.477364, -4.507145, 0.655093, 147.875046, 691.757935, -156.268723, 47.349049, 
25,1785484617521,-169.145203, -487.695587, 288.164001, -9.031448, -0.807495, -5.034485, 10.371362, 292.799377, -810.296631, 264.495850, 901.260315, 0.289406, -0.229824, -0.682536, 0.630531, 43.037430, 6.040847, -92.152359, 6.776271, -0.416828, -0.476792, -454.071747, 44.499165, -47.470524, 47.349049, 
26,1785484617532,-169.426010, -487.654602, 288.247345, -16.338730, -0.810242, 1.967926, 16.476751, -1608.110107, 809.802246, 995.938110, 2057.593262, 0.288352, -0.229061, -0.683744, 0.629984, 42.872021, 6.067966, -92.302383, -5.316525, 1.135539, -7.121230, -1722.631592, 234.926773, -1148.528320, 47.349049, 
27,1785484617543,-169.615768, -487.757477, 288.213684, -21.175461, -2.785034, 2.235718, 21.474520, 737.498474, -1165.264893, -947.735596, 1673.304810, 0.287698, -0.228971, -0.684162, 0.629861, 42.804501, 6.040076, -92.363487, -10.481791, -0.034690, -9.500860, 792.883667, -445.567841, 720.194885, 47.349049, 
28,1785484617554,-169.828018, -487.837189, 288.173218, -18.090363, -8.216400, -3.335724, 20.146898, -182.180786, 187.619019, -55.123901, 267.262756, 0.287023, -0.228709, -0.685074, 0.629272, 42.716957, 6.051590, -92.493721, -6.977766, -0.736883, -8.610346, -162.159012, 319.173004, -559.902161, 47.349049, 
29,1785484617565,-169.938721, -487.971161, 288.036621, -14.532852, -9.615784, -7.967834, 19.161249, 822.532654, -439.508057, -778.656006, 1214.920776, 0.286833, -0.228519, -0.685358, 0.629119, 42.682243, 6.063796, -92.528671, -5.501574, 1.067394, -7.433154, 427.873596, 5.596817, 771.796753, 47.349049, 
30,1785484617576,-170.141113, -488.061737, 287.904541, -14.089279, -10.104675, -12.090454, 21.137440, -742.689514, 351.507568, 36.584473, 822.486267, 0.285824, -0.227720, -0.686445, 0.628682, 42.518875, 6.089269, -92.658844, -8.913734, 1.695521, -7.430550, -1042.062622, 107.466064, -771.328064, 47.349049, 
31,1785484617588,-169.486893, -488.164886, 285.949188, 20.332260, -8.717651, -93.934479, 96.504326, 6938.566406, -101.843262, -14768.508789, 16317.565430, 0.297230, -0.236183, -0.680892, 0.626305, 44.274559, 6.252932, -92.236549, 71.654289, 8.511105, 13.145394, 15544.307617, 1119.338989, 4474.998047, 47.349049, 
32,1785484617599,-169.505371, -488.451050, 285.557098, 28.608398, -17.519073, -105.634918, 110.833633, -5448.861816, -1482.412720, 12662.429688, 13864.514648, 0.298356, -0.237051, -0.680232, 0.626159, 44.452003, 6.259844, -92.180260, 86.990738, 7.675897, 21.536438, -12783.747070, -1269.676514, -2964.610352, 47.349049, 
33,1785484617610,-169.780289, -488.684967, 285.354462, -13.202820, -23.403625, -26.762695, 37.924740, -2077.157715, 423.193359, 1534.570312, 2616.979736, 0.296274, -0.233704, -0.682205, 0.626259, 43.970455, 6.403042, -92.309349, -13.684708, 6.754958, -3.276005, -5337.833496, 1103.907593, -1501.629395, 47.349049, 
34,1785484617621,-170.666718, -489.045013, 286.456696, -52.260590, -26.728363, 40.481873, 71.304672, -4953.241211, -1021.646118, 10569.452148, 11717.152344, 0.286011, -0.225019, -0.687974, 0.627898, 42.294518, 6.370569, -92.761688, -97.086945, 4.982611, -26.164488, -9674.569336, -1422.930054, -2618.297607, 47.349049, 
35,1785484617632,-170.704941, -489.481445, 285.976166, -41.609344, -35.841522, 27.976685, 61.633167, 6870.464844, -618.722534, -12820.385742, 14558.447266, 0.286551, -0.224402, -0.688005, 0.627839, 42.288803, 6.460567, -92.735001, -75.674423, 2.588630, -19.154243, 13528.823242, 992.013489, 3880.141602, 47.349049, 
36,1785484617643,-170.884964, -489.785248, 285.613098, -9.821091, -33.310547, -37.961884, 51.450470, -1148.579346, 1074.298096, 951.443481, 1838.095703, 0.286280, -0.223528, -0.688827, 0.627372, 42.184921, 6.541595, -92.821037, -4.931793, 7.696157, -2.670551, -795.149658, -72.658546, -913.076965, 47.349049, 
37,1785484617654,-170.897446, -490.235565, 285.160034, -8.662720, -33.935394, -36.725922, 50.748863, 1357.086182, -1186.770630, -728.970337, 1944.609253, 0.286008, -0.223610, -0.688537, 0.627786, 42.170452, 6.493769, -92.778748, -5.325647, 1.494109, -1.968705, 724.255981, -1043.710083, 1039.409302, 47.349049, 
38,1785484617665,-171.134293, -490.475922, 284.712219, -11.219788, -31.080322, -40.539551, 52.300339, -1817.358398, 1700.683594, 42.517090, 2489.362061, 0.285563, -0.221837, -0.690063, 0.626941, 41.969639, 6.658795, -92.931541, -9.687656, 5.274005, -4.972781, -1509.417725, 1724.091431, -1580.143066, 47.349049, 
39,1785484617676,-171.259003, -490.749573, 284.278046, -16.270065, -23.130341, -39.689484, 48.733795, 908.308411, -269.686890, 110.494995, 953.920532, 0.285049, -0.220025, -0.690806, 0.626995, 41.765621, 6.772000, -92.958267, -18.217535, 12.520374, -8.078217, -25.960518, -419.744995, 1021.164734, 47.349049, 
40,1785484617688,-170.686096, -490.866119, 282.164795, 20.168839, -17.558899, -114.634094, 117.711823, 5650.694336, 1272.546387, -13600.525391, 14782.557617, 0.295845, -0.227768, -0.686405, 0.624056, 43.397057, 6.999389, -92.659836, 64.233826, 15.326735, 12.226712, 14867.205078, 924.889832, 2633.722412, 47.349049, 
41,1785484617699,-171.603531, -491.269928, 283.257996, -15.503769, -23.415985, -45.902252, 53.811634, -12071.763672, -2326.821777, 25972.255859, 28734.990234, 0.284638, -0.218636, -0.692005, 0.626345, 41.602673, 6.895520, -93.080246, -7.332644, 5.558413, -5.489056, -27749.167969, -2683.187744, -5822.560547, 47.349049, 
42,1785484617710,-171.566147, -491.569885, 282.769592, -39.602280, -31.669464, 27.215881, 57.549976, 7734.031738, 841.195679, -12810.992188, 14988.141602, 0.285697, -0.217843, -0.691748, 0.626424, 41.629307, 7.026954, -92.999840, -79.548706, 1.240411, -15.300180, 14750.278320, 1905.947388, 4056.558350, 47.349049, 
43,1785484617721,-171.776489, -491.729309, 282.409302, -7.783127, -20.672150, -38.191223, 44.118980, -2006.584229, 1138.320923, 1037.713623, 2529.625244, 0.284725, -0.216261, -0.692707, 0.626355, 41.403343, 7.097057, -93.074425, -8.969851, 9.069170, 0.261802, -2046.084595, -496.770721, -1255.401367, 47.349049, 
44,1785484617732,-171.972183, -491.906067, 282.088348, -18.271637, -15.128174, -30.655975, 38.762135, 118.652344, -140.405273, 318.630981, 367.855560, 0.283271, -0.214401, -0.693650, 0.626609, 41.112370, 7.139726, -93.133369, -23.262175, 5.074742, -6.008841, -526.533752, -222.226303, 126.685722, 47.349049, 
45,1785484617743,-171.504333, -491.801453, 280.177734, 12.247009, -3.246460, -100.420532, 101.216660, 5374.704102, 2279.113770, -12876.250977, 14137.879883, 0.293384, -0.222817, -0.689337, 0.623773, 42.738636, 7.267773, -92.869888, 60.088173, 7.682206, 9.204122, 15529.596680, 691.569702, 2611.647461, 47.349049, 
46,1785484617754,-171.737350, -491.813568, 279.947968, 10.567474, 4.162445, -96.317139, 96.984474, -5677.020508, -945.510864, 13614.862305, 14781.306641, 0.292578, -0.221618, -0.690199, 0.623625, 42.559578, 7.322896, -92.946236, 65.124321, 8.242661, 8.421080, -14623.089844, -590.687561, -2752.594971, 47.349049, 
