#Hierarchical Translation and Rotation (.csv) file
[Head]
NumFrames,NumSegments,DataFrameRate,EulerRotationOrder,BoneAxis,TranslationUnits
3534,1,90,ZYX,Y,mm

[SegmentNames&Hierarchy]
Segment,Parent
Segment1,

[SegmentData]
 Frame# ,,Segment1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Timestamp,XToGlobal1,YToGlobal1,ZToGlobal1,VxToGlobal1,VyToGlobal1,VzToGlobal1,VrToGlobal1,AxToGlobal1,AyToGlobal1,AzToGlobal1,ArToGlobal1,QxToGlobal1,QyToGlobal1,QzToGlobal1,QwToGlobal1,ExToGlobal1,EyToGlobal1,EzToGlobal1,EVxToGlobal1,EVyToGlobal1,EVzToGlobal1,EAxToGlobal1,EAyToGlobal1,EAzToGlobal1,Segmentlength1,
1,1785484617254,-234.268951, -923.703003, 307.016174, , , , , , , , , 0.273678, 0.040054, -0.201936, 0.939531, 30.458027, 10.707458, -21.337563, , , , , , , 64.210136, 
2,1785484617265,-234.798538, -923.652100, 307.033264, , , , , , , , , 0.274067, 0.040942, -0.202879, 0.939176, 30.479990, 10.842381, -21.417078, , , , , , , 64.210136, 
3,1785484617276,-235.191727, -923.619995, 307.091248, -41.524887, 3.735352, 3.378296, 41.829201, 1104.826416, -152.270508, 331.237793, 1163.420044, 0.274004, 0.042625, -0.203428, 0.939001, 30.438669, 11.042075, -21.435015, -0.871119, 15.057786, -4.385354, -512.594604, 524.646179, 498.792877, 64.210136, 
4,1785484617288,-235.772079, -923.634521, 307.425079, -43.809357, 0.791016, 17.631683, 47.230942, -1516.030884, -377.709961, 2234.372070, 2726.432129, 0.275592, 0.069509, -0.202858, 0.937052, 30.215679, 14.009245, -20.630770, -11.893973, 142.508881, 35.383820, -1471.519165, 22416.548828, 6659.658203, 64.210136, 
5,1785484617299,-236.176224, -923.649902, 307.505768, -44.302368, -1.345825, 18.653412, 48.088055, 1427.288818, -6.921387, -2050.460938, 2498.317627, 0.275449, 0.068154, -0.203311, 0.937095, 30.212271, 13.870972, -20.720896, -10.187945, 127.300369, 32.135323, 1778.604126, -25154.080078, -7244.387695, 64.210136, 
6,1785484617310,-236.101074, -923.654968, 307.383942, -14.804764, -0.920105, -1.851196, 14.948397, 3882.280029, 83.551025, -1640.368652, 4215.434570, 0.272794, 0.038915, -0.203051, 0.939595, 30.361256, 10.597593, -21.505625, 6.550933, -153.524307, -39.368473, 1234.393921, -25394.359375, -5626.295898, 64.210136, 
7,1785484617321,-236.410416, -923.639771, 307.561829, -10.538635, 0.455933, 2.522736, 10.845963, -3114.376953, 164.135742, 2427.676270, 3952.201416, 0.272925, 0.040517, -0.203058, 0.939488, 30.349619, 10.775938, -21.461544, 6.180689, -139.276550, -33.329174, -1301.037842, 27958.957031, 6713.369629, 64.210136, 
8,1785484617332,-237.057938, -923.604858, 307.770874, -43.058853, 2.254944, 17.411957, 46.500816, -2739.262451, 159.686279, 252.383423, 2755.495605, 0.275830, 0.069100, -0.203262, 0.936924, 30.244881, 13.981847, -20.684858, -5.236809, 152.291397, 36.934566, -754.111816, 24523.275391, 5934.103516, 64.210136, 
9,1785484617343,-236.956787, -923.614929, 307.739960, -24.586716, 1.117859, 8.015900, 25.884567, 6064.247070, -364.361572, -1943.673706, 6378.536133, 0.272857, 0.035759, -0.202859, 0.939744, 30.424500, 10.248159, -21.569019, 3.369633, -23.750029, -4.836417, 2303.271240, -56210.730469, -13452.880859, 64.210136, 
10,1785484617354,-237.601471, -923.600098, 308.112946, -24.459000, 0.214233, 15.393219, 28.900515, -6041.258301, 201.708984, 3271.591309, 6873.193848, 0.275228, 0.067036, -0.203245, 0.937255, 30.203077, 13.741246, -20.745810, -1.881212, -10.827006, -2.742813, -3248.423340, 58536.875000, 13829.729492, 64.210136, 
